Zeitstempel,"Which device do you own?
[If multiple pick the most recent one]",In what condition did you receive your device?,How long have you owned the device for?,Have you had to RMA your device?,Does your foldable screen open all the way?,Did your outer (small) screen break with no fault of your own ?,Did your inner (large) screen break with no fault of your own ?,What kind of screen protector do you use for your outer (small) screen?,What kind of screen protector do you use for your inner (large) screen?,Did your inner default screen protector peel or bubble up?,"Are you seeing micro cracks on the inner screen?
[Tiny scuffs especially at the middle part that look like scratches]",How is the surface of the inner screen holding up?,What is your screen usage?,How often do you fold your device in a day?
01.04.2025 12:41:10,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
16.03.2026 20:42:12,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,6,11–15 times
16.03.2026 20:36:04,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,Default factory one that is pre-applied,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",5,6–10 times
16.03.2026 20:44:13,Z Fold 7,Used,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,10,11–15 times
16.03.2026 20:37:37,Z Fold 5,Factory new,25–36 months (2–3 years),No,Yes,No,No,None,None,"Yes, after 13–18 months",No,Completely fine,6,6–10 times
16.03.2026 20:45:19,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,0–5 times
16.03.2026 20:46:50,Z Fold 7,Refurbished,0–6 months,No,Yes,No,No,None,None,No,No,"Small scratches, only visible under a certain light",6,16–20 times
16.03.2026 20:56:38,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,7,16–20 times
16.03.2026 21:00:19,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
16.03.2026 21:09:24,Z Fold 7,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",6,6–10 times
16.03.2026 20:53:03,Z Fold 6,Factory new,19–24 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,None,"Yes, after 13–18 months",No,Completely fine,4,More than 20 times a day
16.03.2026 20:53:04,Z Fold 5,Factory new,25–36 months (2–3 years),No,Yes,No,No,3rd party,3rd party,"Yes, after 13–18 months",No,Completely fine,7,16–20 times
16.03.2026 21:21:52,Z Fold 7,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,3,16–20 times
16.03.2026 21:33:02,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
16.03.2026 21:38:32,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
16.03.2026 21:13:15,Z Fold 4,Factory new,37–48 months (3–4 years),"Yes, more than 3x",Yes,"Yes, after 7–12 months",No,None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,1,16–20 times
16.03.2026 21:15:06,Z Fold 6,Factory new,19–24 months,No,Yes,No,No,3rd party,None,"Yes, after 13–18 months",No,Completely fine,9,0–5 times
17.03.2026 02:41:25,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,3,11–15 times
16.03.2026 21:26:07,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,None,None,"Yes, after 13–18 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",7,16–20 times
16.03.2026 21:28:17,Z Fold 4,Factory new,37–48 months (3–4 years),"Yes, 1x",Yes,No,No,3rd party,3rd party,No,No,Completely fine,7,6–10 times
17.03.2026 04:29:04,Z Fold 7,Refurbished,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,4,6–10 times
17.03.2026 11:39:32,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,6,6–10 times
16.03.2026 21:47:12,Z Fold 5,Factory new,25–36 months (2–3 years),No,Yes,No,No,3rd party,3rd party,"Yes, after 13–18 months",No,Completely fine,4,11–15 times
16.03.2026 22:28:44,Z Fold 6,Used,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
16.03.2026 22:45:48,Z Fold 6,Used,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",8,11–15 times
17.03.2026 01:59:36,Z Fold 6,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,6,6–10 times
18.03.2026 21:44:56,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,5,0–5 times
19.03.2026 12:21:16,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,7,16–20 times
25.03.2026 22:13:49,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,6,11–15 times
26.03.2026 00:30:59,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,11–15 times
17.03.2026 04:29:38,Z Fold 6,Factory new,13–18 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",5,16–20 times
17.03.2026 08:34:24,Z Fold 3,Factory new,49-60 months (4–5 years),"Yes, 1x","No, 1–20° are missing to be flat",No,"Yes, after 37-48 months (3–4 years)",3rd party,None,"Yes, after 19–24 months","Yes, after 49–60 months (4–5 years)","Small scratches, only visible under a certain light",5,16–20 times
26.03.2026 08:55:06,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,9,6–10 times
17.03.2026 12:24:04,Z Fold 5,Factory new,25–36 months (2–3 years),No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,6,16–20 times
17.03.2026 13:10:02,Z Fold 6,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,6,6–10 times
17.03.2026 13:41:44,Z Fold 6,Factory new,19–24 months,No,Yes,No,No,None,None,"Yes, after 19–24 months",No,Completely fine,7,6–10 times
17.03.2026 17:52:20,Z Fold 3,Used,13–18 months,No,Yes,No,No,None,None,No,No,"Small scratches, only visible under a certain light",2,0–5 times
26.03.2026 12:42:02,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,4,0–5 times
18.03.2026 09:53:53,Z Fold 3,Used,0–6 months,No,Yes,No,No,3rd party,3rd party,No,No,Completely fine,5,6–10 times
18.03.2026 10:39:39,Z Fold 6,Factory new,13–18 months,"Yes, 1x",Yes,No,"Yes, after 13–18 months",3rd party,None,No,No,"Small scratches, only visible under a certain light",7,16–20 times
18.03.2026 10:59:52,Z Fold 6,Refurbished,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
18.03.2026 15:25:15,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
26.03.2026 16:09:32,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,5,11–15 times
19.03.2026 00:33:12,Z Fold 5,Factory new,25–36 months (2–3 years),No,Yes,No,No,None,None,"Yes, after 13–18 months","Yes, since 19–24 months","Small scratches, only visible under a certain light",5,6–10 times
19.03.2026 00:35:44,Z Fold 3,Factory new,19–24 months,No,Yes,No,No,None,None,"Yes, after 13–18 months",No,Completely fine,5,6–10 times
19.03.2026 11:01:17,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,More than 20 times a day
27.03.2026 14:57:47,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,3rd party,3rd party,No,No,Completely fine,8,6–10 times
21.03.2026 05:12:38,Z Fold 5,Factory new,25–36 months (2–3 years),No,Yes,No,No,None,Default factory one that is pre-applied,"Yes, after 19–24 months",No,"Small scratches, only visible under a certain light",8,0–5 times
25.03.2026 16:14:13,Z Fold 6,Used,0–6 months,No,"No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,"Yes, after 13–18 months","Yes, since 7–12 months","Small scratches, only visible under a certain light",4,11–15 times
25.03.2026 19:56:22,Z Fold 6,Factory new,19–24 months,"Yes, 2x",Yes,No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,"Yes, after 19–24 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",5,11–15 times
27.03.2026 16:59:09,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
25.03.2026 22:59:14,Z Fold 5,Factory new,25–36 months (2–3 years),No,Yes,No,No,None,None,"Yes, after 25–36 months (2–3 years)",No,Completely fine,6,6–10 times
25.03.2026 23:05:57,Z Fold 2,Used,25–36 months (2–3 years),"Yes, 1x",Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 19–24 months",No,Completely fine,9,0–5 times
28.03.2026 08:06:54,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,More than 20 times a day
29.03.2026 14:11:09,Z Fold 7,Factory new,7–12 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",3,More than 20 times a day
29.03.2026 14:34:10,Z Fold 7,Factory new,0–6 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,6,11–15 times
30.03.2026 07:47:40,Z Fold 7,Refurbished,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,6,11–15 times
26.03.2026 18:14:19,Z Fold 3,Used,7–12 months,No,Yes,No,No,None,None,"Yes, after 0–6 months","Yes, since 0–6 months","Small scratches, only visible under a certain light",4,More than 20 times a day
30.03.2026 17:53:39,Z Fold 7,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
30.03.2026 19:08:21,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",5,11–15 times
30.03.2026 20:30:34,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,4,16–20 times
27.03.2026 19:01:54,Z Fold 5,Factory new,25–36 months (2–3 years),No,Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,1,0–5 times
27.03.2026 23:42:42,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,6–10 times
31.03.2026 18:46:17,Z Fold 7,Factory new,0–6 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",9,0–5 times
28.03.2026 16:31:05,Z Fold 6,Factory new,19–24 months,"Yes, 1x",Yes,No,No,3rd party,3rd party,"Yes, after 13–18 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",5,16–20 times
29.03.2026 00:54:09,Z Fold 6,Refurbished,0–6 months,"Yes, 1x",Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 0–6 months",No,Completely fine,7,16–20 times
01.04.2026 03:15:06,Z Fold 7,Used,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,None,No,No,Completely fine,8,16–20 times
01.04.2026 04:43:52,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
29.03.2026 18:44:39,Z Fold 5,Factory new,25–36 months (2–3 years),"Yes, 1x",Yes,No,"Yes, after 25–36 months (2–3 years)",None,Default factory one that is pre-applied,"Yes, after 19–24 months","Yes, after 25–36 months (2–3 years)","Small scratches, only visible under a certain light",8,0–5 times
01.04.2026 09:00:44,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,"Small scratches, always visible",4,11–15 times
30.03.2026 11:45:48,Z Fold 6,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,0–5 times
30.03.2026 14:46:24,Z Fold 5,Factory new,25–36 months (2–3 years),No,Yes,No,"Yes, after 25–36 months (2–3 years)",Default factory one that is pre-applied,None,"Yes, after 13–18 months","Yes, since 19–24 months","Small scratches, only visible under a certain light",6,More than 20 times a day
03.04.2026 20:42:23,Z Fold 7,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,None,None,No,No,"Small scratches, only visible under a certain light",3,More than 20 times a day
04.04.2026 01:05:29,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,6,11–15 times
05.04.2026 01:52:22,Z Fold 7,Used,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
31.03.2026 15:51:37,Z Fold 6,Factory new,19–24 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,"Yes, since 19–24 months",Completely fine,9,More than 20 times a day
05.04.2026 20:03:18,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",3,11–15 times
06.04.2026 04:59:55,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
06.04.2026 07:04:13,Z Fold 7,Factory new,0–6 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),No,No,Completely fine,2,0–5 times
01.04.2026 07:22:13,Z Fold 6,Factory new,13–18 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,0–5 times
06.04.2026 15:22:06,Z Fold 7,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,0–5 times
06.04.2026 17:52:04,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,More than 20 times a day
07.04.2026 17:01:08,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
05.04.2026 01:46:34,Z Fold 4,Factory new,37–48 months (3–4 years),"Yes, 1x","No, 1–20° are missing to be flat",No,No,None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 19–24 months",No,Completely fine,3,0–5 times
07.04.2026 18:50:12,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
05.04.2026 09:08:13,Z Fold 5,Refurbished,19–24 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,More than 20 times a day
05.04.2026 09:21:20,Z Fold 6,Used,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,16–20 times
07.04.2026 22:52:33,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,9,11–15 times
08.04.2026 17:39:13,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
09.04.2026 15:13:21,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,11–15 times
09.04.2026 18:52:36,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,None,None,No,No,Completely fine,8,11–15 times
06.04.2026 16:03:03,Z Fold 3,Factory new,49-60 months (4–5 years),No,"No, 1–20° are missing to be flat",No,No,None,3rd party,"Yes, after 0–6 months","Yes, after 49–60 months (4–5 years)",Completely fine,8,0–5 times
12.04.2026 22:13:25,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,None,None,No,No,Completely fine,4,6–10 times
13.04.2026 07:14:17,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,None,None,No,No,Completely fine,8,0–5 times
07.04.2026 10:56:49,Z Fold 4,Factory new,37–48 months (3–4 years),"Yes, 1x",Yes,No,"Yes, after 19–24 months",None,None,No,No,"Small scratches, only visible under a certain light",5,11–15 times
13.04.2026 13:53:06,Z Fold 7,Factory new,0–6 months,No,"No, 1–20° are missing to be flat",No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,3,11–15 times
13.04.2026 15:41:58,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,6,16–20 times
13.04.2026 16:27:00,Z Fold 7,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,5,11–15 times
08.04.2026 07:14:04,Z Fold 4,Factory new,37–48 months (3–4 years),"Yes, 3x",Yes,"Yes, after 0–6 months",No,None,None,"Yes, after 13–18 months","Yes, after 25–36 months (2–3 years)","Small scratches, only visible under a certain light",6,11–15 times
08.04.2026 13:40:23,Z Fold 4,Factory new,25–36 months (2–3 years),"Yes, 1x","No, 21–45° are missing to be flat",No,No,Default factory one that is pre-applied,3rd party,"Yes, after 0–6 months",No,"Small scratches, always visible",6,11–15 times
15.04.2026 12:23:53,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
18.04.2026 08:57:19,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,0–5 times
09.04.2026 16:58:56,Z Fold 5,Factory new,25–36 months (2–3 years),No,Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,7,6–10 times
09.04.2026 18:08:45,Z Fold 3,Refurbished,7–12 months,No,"No, 1–20° are missing to be flat",No,"Yes, after 7–12 months",None,None,No,"Yes, since 0–6 months","Small scratches, only visible under a certain light",5,16–20 times
18.04.2026 09:07:57,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",7,6–10 times
10.04.2026 16:36:29,Z Fold 5,Refurbished,13–18 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
11.04.2026 15:09:57,I don't own any of them,,,,,,,,,,,,,
11.04.2026 22:59:45,Z Fold 6,Factory new,19–24 months,No,Yes,No,No,None,None,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",3,More than 20 times a day
12.04.2026 04:54:51,Z Fold 3,Factory new,49-60 months (4–5 years),No,Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,3,6–10 times
19.04.2026 06:00:04,Z Fold 7,Factory new,7–12 months,No,Yes,No,"Yes, but at fault of my own",3rd party,None,No,No,"Small scratches, only visible under a certain light",5,6–10 times
19.04.2026 14:00:31,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,3,6–10 times
13.04.2026 08:25:28,Z Fold 6,Factory new,13–18 months,No,"No, 1–20° are missing to be flat","Yes, but at fault of my own","Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,"Yes, after 7–12 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",8,6–10 times
22.04.2026 00:51:22,Z Fold 7,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
22.04.2026 01:08:31,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,8,11–15 times
23.04.2026 17:59:15,Z Fold 7,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,11–15 times
14.04.2026 21:10:45,Z Fold 5,Used,0–6 months,No,Yes,"Yes, but at fault of my own",No,None,None,"Yes, after 0–6 months","Yes, since 7–12 months","Small scratches, only visible under a certain light",4,More than 20 times a day
25.04.2026 19:33:45,Z Fold 7,Used,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
18.04.2026 06:55:54,I don't own any of them,,,,,,,,,,,,,
26.04.2026 03:55:05,Z Fold 7,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,3rd party,No,No,Completely fine,4,More than 20 times a day
27.04.2026 15:31:31,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,4,0–5 times
28.04.2026 17:16:51,Z Fold 7,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,11–15 times
29.04.2026 15:46:17,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,3rd party,None,No,No,"Small scratches, only visible under a certain light",5,11–15 times
19.04.2026 18:04:45,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",4,More than 20 times a day
29.04.2026 15:59:57,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
20.04.2026 21:27:29,Z Fold 6,Factory new,13–18 months,No,"No, 1–20° are missing to be flat",No,No,None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,6,6–10 times
03.05.2026 01:15:12,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
04.05.2026 06:37:11,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
22.04.2026 14:54:15,Z Fold 5,Factory new,25–36 months (2–3 years),No,Yes,No,No,None,None,No,No,Completely fine,3,More than 20 times a day
06.05.2026 09:19:17,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,16–20 times
25.04.2026 01:30:00,Z Fold 5,Factory new,25–36 months (2–3 years),No,Yes,No,"Yes, after 25–36 months (2–3 years)",Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 19–24 months","Yes, since 13–18 months","Small scratches, always visible",4,16–20 times
06.05.2026 17:28:49,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,6,6–10 times
07.05.2026 00:06:33,Z Fold 7,Factory new,0–6 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,0–5 times
07.05.2026 03:16:39,Z Fold 7,Factory new,7–12 months,No,Yes,No,No,None,None,No,No,Completely fine,2,More than 20 times a day
27.04.2026 18:08:09,Z Fold 6,Factory new,19–24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,5,16–20 times
25.03.2025 23:00:52,Z Fold SE,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
27.03.2025 10:00:58,Z Fold SE,Factory new,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,5,More than 20 times a day
16.03.2026 20:44:41,Z TriFold,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
29.04.2026 23:38:08,Z Fold 6,Factory new,19–24 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 13–18 months",No,"Small scratches, always visible",2,6–10 times
30.04.2026 20:25:19,Z Fold 3,Damaged/broken,7–12 months,No,"No, 1–20° are missing to be flat",No,"Yes, but at fault of my own",None,None,"Yes, after 0–6 months","Yes, since 0–6 months",Completely fine,2,16–20 times
17.03.2026 02:53:41,Z TriFold,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
17.03.2026 04:18:05,Z TriFold,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,1,More than 20 times a day
17.03.2026 21:10:34,Z TriFold,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
27.03.2026 16:57:53,Z TriFold,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
06.04.2026 18:45:53,Z TriFold,Factory new,0–6 months,No,"No, 1–20° are missing to be flat",No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
20.04.2026 00:17:41,Z TriFold,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,6,6–10 times
07.05.2026 05:27:17,Z Fold 6,Factory new,19–24 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,6,6–10 times
